COD_PROVINCIA|IND_SEXO|EDAD|NUM_PERMISOS|NUM_LICENCIAS|NUM_LICENCIAS_PERMISOS|NUM_PERMISOS_A|NUM_PERMISOS_B|NUM_PERMISOS_C|NUM_PERMISOS_D|NUM_PERMISOS_LCM|NUM_PERMISOS_LVA
12|M|25 a 29 años|10449|0|10449|884|10407|41|2|0|0
12|M|30 a 34 años|12097|0|12097|2176|12048|59|6|0|0
12|M|35 a 39 años|14279|0|14279|3462|14222|112|31|0|0
12|M|40 a 44 años|17144|0|17144|5076|17029|105|36|0|0
12|M|45 a 49 años|21124|0|21124|7858|20766|130|49|0|0
12|M|50 a 54 años|19379|0|19379|8042|18951|116|47|0|0
12|M|55 a 59 años|17776|0|17776|6669|17311|90|39|0|0
12|M|60 a 64 años|14678|0|14678|4926|14160|50|25|0|0
12|M|65 a 69 años|11187|0|11187|2841|10725|26|1|0|0
12|M|70 a 74 años|7190|0|7190|1355|6761|7|0|0|0
12|M|Más de 74 años|6465|0|6465|2322|4926|4|0|0|0
12|V|15 a 17 años|958|1|958|958|0|0|0|0|1
12|V|18 a 20 años|4150|0|4150|1570|3525|0|0|0|0
12|V|21 a 24 años|9286|0|9286|2278|9092|144|0|0|0
12|V|25 a 29 años|12750|0|12750|3353|12665|463|19|0|0
12|V|30 a 34 años|13420|0|13420|5916|13289|783|54|0|0
12|V|35 a 39 años|14906|0|14906|7754|14792|1340|157|0|0
12|V|40 a 44 años|19403|0|19403|11527|19212|2376|404|0|0
12|V|45 a 49 años|24735|0|24735|15512|24202|3289|725|0|0
12|V|50 a 54 años|23216|0|23216|15429|22650|3293|1123|0|0
12|V|55 a 59 años|21577|0|21577|14476|20936|3090|1371|0|0
12|V|60 a 64 años|18415|2|18415|13449|17839|2381|1017|0|2
12|V|65 a 69 años|15411|5|15411|11674|14896|941|336|0|5
12|V|70 a 74 años|12127|2|12127|9503|11583|280|109|0|2
12|V|Más de 74 años|20837|36|20837|17829|16624|162|53|0|36
13|M|15 a 17 años|142|0|142|142|0|0|0|0|0
13|M|18 a 20 años|1800|0|1800|188|1703|1|0|0|0
13|M|21 a 24 años|5922|0|5922|279|5882|18|0|0|0
13|M|25 a 29 años|9760|0|9760|401|9748|43|2|0|0
13|M|30 a 34 años|11221|0|11221|1259|11197|43|8|0|0
13|M|35 a 39 años|12808|0|12808|2091|12780|91|28|0|0
13|M|40 a 44 años|14277|0|14277|2900|14218|199|50|0|0
13|M|45 a 49 años|15428|0|15428|3004|15247|183|57|0|0
13|M|50 a 54 años|14828|0|14828|3288|14519|95|45|0|0
13|M|55 a 59 años|13795|0|13795|2359|13468|70|30|0|0
13|M|60 a 64 años|11062|0|11062|1630|10702|46|12|0|0
13|M|65 a 69 años|7265|0|7265|903|6967|10|7|0|0
13|M|70 a 74 años|3611|0|3611|398|3420|2|1|0|0
13|M|Más de 74 años|2365|2|2365|388|2114|0|0|0|2
13|V|15 a 17 años|615|31|638|615|0|0|0|0|31
13|V|18 a 20 años|3400|17|3414|956|3091|3|0|0|17
13|V|21 a 24 años|7320|3|7322|1186|7227|163|1|0|3
13|V|25 a 29 años|11304|3|11306|2244|11254|687|34|0|3
13|V|30 a 34 años|13064|0|13064|5391|12983|1064|77|0|0
13|V|35 a 39 años|13579|1|13579|6650|13482|1720|216|0|1
13|V|40 a 44 años|15090|0|15090|7807|14949|2292|411|0|0
13|V|45 a 49 años|17375|2|17377|8928|17015|2831|622|0|2
13|V|50 a 54 años|17162|5|17166|9137|16616|2942|1173|0|5
13|V|55 a 59 años|17706|7|17707|9020|17069|2985|1519|0|7
13|V|60 a 64 años|17031|19|17031|10110|16230|2826|1258|0|19
13|V|65 a 69 años|13733|30|13733|8646|12773|1185|471|0|30
13|V|70 a 74 años|10119|50|10119|6207|9140|422|197|0|50
13|V|Más de 74 años|20952|141|20952|17045|12401|187|76|0|141
14|M|15 a 17 años|385|1|386|385|0|0|0|0|1
14|M|18 a 20 años|3031|0|3031|719|2604|0|0|0|0
14|M|21 a 24 años|9872|0|9872|1001|9716|23|0|0|0
14|M|25 a 29 años|15328|0|15328|1312|15276|53|7|0|0
14|M|30 a 34 años|19137|0|19137|3148|19073|124|25|0|0
14|M|35 a 39 años|20602|0|20602|3567|20541|173|41|0|0
14|M|40 a 44 años|22118|0|22118|5346|21976|236|75|0|0
14|M|45 a 49 años|24641|0|24641|6570|24216|243|90|0|0
14|M|50 a 54 años|23287|0|23287|6748|22659|170|68|0|0
14|M|55 a 59 años|21719|0|21719|5050|20993|113|45|0|0
14|M|60 a 64 años|17223|1|17223|3471|16556|52|11|0|1
14|M|65 a 69 años|11352|0|11352|2195|10777|21|4|0|0
14|M|70 a 74 años|5423|1|5423|812|5101|9|0|0|1
14|M|Más de 74 años|3424|0|3424|663|3040|2|0|0|0
14|V|15 a 17 años|1330|6|1335|1330|0|0|0|0|6
14|V|18 a 20 años|5646|6|5648|2147|4739|7|0|0|6
14|V|21 a 24 años|12459|0|12459|2870|12205|252|5|0|0
14|V|25 a 29 años|17790|0|17790|4430|17682|823|55|0|0
